round,cid,latency
36,2,0.8876645565032959
37,0,0.8569965362548828
37,1,0.89347243309021
37,2,0.902350902557373
38,0,0.8626101016998291
38,1,0.8698551654815674
38,2,0.8984127044677734
39,2,0.8376317024230957
39,1,0.8624842166900635
39,0,0.8885371685028076
40,1,0.8287084102630615
40,0,0.8579380512237549
40,2,0.8704042434692383
41,0,0.8584461212158203
41,1,0.8945810794830322
42,0,0.8462085723876953
42,1,0.8572924137115479
42,2,0.8965387344360352
43,0,0.8504447937011719
43,2,0.8674592971801758
43,1,0.8822400569915771
44,2,0.7940082550048828
44,0,0.8309037685394287
44,1,0.9262580871582032
45,2,0.8656222820281982
45,0,0.8835465908050537
45,1,0.9027347564697266
46,2,0.8424720764160156
46,1,0.8816382884979248
46,0,0.892641544342041
47,1,0.8169810771942139
47,2,0.8750758171081543
47,0,0.9133009910583496
48,1,0.8537530899047852
48,0,0.877985954284668
49,2,0.8617017269134521
49,1,0.8745548725128174
49,0,0.9014813899993896
50,0,0.8618314266204834
50,2,0.8707306385040283
50,1,0.9075193405151368
51,1,0.8622381687164307
51,0,0.8861560821533203
51,2,0.9231321811676024
52,2,0.8583154678344727
52,1,0.8670351505279541
52,0,0.9470725059509276
53,1,0.8218791484832764
53,2,0.861269474029541
53,0,0.8983569145202637
54,0,0.8365387916564941
54,2,0.8906080722808838
55,1,0.8166823387145996
55,0,0.8989548683166504
55,2,0.9287028312683104
56,0,0.8280956745147705
56,1,0.8480284214019775
56,2,0.9184801578521729
57,2,0.8521208763122559
57,1,0.8745789527893066
57,0,0.8955013751983643
58,2,0.8137545585632324
58,1,0.8769171237945557
58,0,0.9054951667785645
59,2,0.7872011661529541
59,1,0.852515697479248
59,0,0.8882555961608887
60,1,0.861424446105957
60,2,0.8793435096740723
60,0,0.9001586437225342
61,2,0.8365182876586914
61,0,0.845529317855835
61,1,0.8844010829925537
62,0,0.8126990795135498
62,2,0.8265962600708008
62,1,0.8873867988586426
63,0,0.8650341033935547
63,2,0.8723089694976807
63,1,0.8897016048431396
64,0,0.8456265926361084
64,2,0.8582324981689453
64,1,0.8924102783203125
65,2,0.8550655841827393
65,0,0.8726906776428223
65,1,0.8913590908050537
66,2,0.8489267826080322
66,1,0.8808794021606445
67,2,0.8215484619140625
67,0,0.8291916847229004
67,1,0.8484845161437988
68,2,0.7792930603027344
68,1,0.8897719383239746
68,0,0.9249625205993652
69,0,0.8570547103881836
69,2,0.8733487129211426
69,1,0.903756618499756
70,2,0.849233865737915
70,0,0.8690664768218994
70,1,0.8971827030181885
71,1,0.8793628215789795
71,0,0.8901734352111816
71,2,0.9096009731292723
72,2,0.8644514083862305
72,0,0.8774840831756592
72,1,0.8878798484802246
73,1,0.7891068458557129
73,0,0.8671462535858154
73,2,0.9068357944488524
74,0,0.8570473194122314
74,2,0.8764734268188477
75,2,0.8627996444702148
75,1,0.8710346221923828
75,0,0.8818299770355225
76,2,0.8460536003112793
76,0,0.8548803329467773
76,1,0.8904120922088623
77,0,0.8513736724853516
77,1,0.8624556064605713
77,2,0.8806736469268799
78,1,0.8580508232116699
78,2,0.8652651309967041
78,0,0.8942184448242188
79,2,0.8431413173675537
79,1,0.8601582050323486
79,0,0.8717219829559326
80,2,0.8204336166381836
80,0,0.855865478515625
80,1,0.901369333267212
81,2,0.8238277435302734
81,1,0.8422484397888184
81,0,0.8970165252685547
82,1,0.8157026767730713
82,2,0.8226351737976074
82,0,0.831918478012085
83,0,0.8059220314025879
83,2,0.8288581371307373
83,1,0.8963403701782227
84,1,0.8496239185333252
84,0,0.8585259914398193
84,2,0.869126558303833
85,2,0.8560314178466797
85,0,0.8750967979431152
86,0,0.8746693134307861
86,2,0.8888475894927979
86,1,0.9127297401428224
87,0,0.8698239326477051
87,1,0.8900806903839111
88,1,0.8269836902618408
88,2,0.860936164855957
88,0,0.8837363719940186
89,2,0.8158743381500244
89,1,0.8519225120544434
89,0,0.8746304512023926
90,1,0.7882015705108643
90,0,0.8234198093414307
90,2,0.8705346584320068
91,0,0.8092906475067139
91,1,0.8283829689025879
91,2,0.8741409778594971
92,2,0.8251900672912598
92,0,0.8788433074951172
93,1,0.7889938354492188
93,2,0.8141829967498779
93,0,0.8954110145568848
94,2,0.85276198387146
94,0,0.8633792400360107
94,1,0.9163429737091064
95,1,0.7998714447021484
95,2,0.8787720203399658
95,0,0.9043982028961182
96,2,0.8334300518035889
96,0,0.8496630191802979
96,1,0.9285800457000732
97,2,0.7843313217163086
97,1,0.9019784927368164
97,0,0.911738395690918
98,0,0.8533577919006348
98,1,0.8648486137390137
98,2,0.8941717147827148
99,1,0.8697388172149658
99,0,0.8819034099578857
99,2,0.9034645557403564
100,1,0.8529982566833496
100,0,0.9028027057647705
